"run"	"Année"	"baseline"	"scen"	"ssp"	"recup"	"Bonifié"	"mgmt.unit"	"Superficie"	"Volume"	"Area cut"	"Vol cut"	"min_area"	"min_vol"
1	2090	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	294	5969452	294	5969452	236	4351525
1	2090	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	294	6192033	294	6192033	248	4323258
1	2090	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	234	4651546	234	4651546	234	4352646
1	2095	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	268	5569698	268	5569698	236	4351525
1	2095	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	294	6041924	294	6041924	248	4323258
1	2095	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	248	5001615	248	5001615	234	4352646
1	2100	"0"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	264	5640598	264	5640598	236	4351525
1	2100	"0"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	282	5929468	282	5929468	248	4323258
1	2100	"0"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	248	4862865	248	4862865	234	4352646
1	2025	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	273	4874295	274	4826434	272	4811238
1	2025	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	271	4871131	272	4693832	269	4735058
1	2025	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	271	4853376	272	4873512	271	4792409
1	2030	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	272	4891376	266	4766718	272	4811238
1	2030	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	270	4814864	268	4841855	269	4735058
1	2030	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	273	4939879	276	4924075	271	4792409
1	2035	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	274	4853858	270	4822638	272	4811238
1	2035	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	269	4830117	262	4942865	269	4735058
1	2035	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	272	4792409	266	4708950	271	4792409
1	2040	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	273	4811238	262	4688613	272	4811238
1	2040	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	273	4735058	278	4898444	269	4735058
1	2040	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	273	4806785	274	4900600	271	4792409
1	2045	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	276	4836901	268	4806948	272	4811238
1	2045	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	277	4859286	280	4876610	269	4735058
1	2045	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	278	4802095	280	4901410	271	4792409
1	2050	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	281	4988039	276	4838320	272	4811238
1	2050	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	282	5071588	282	5224757	269	4735058
1	2050	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	282	5023407	286	5187821	271	4792409
1	2055	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	286	5198972	286	5079616	272	4811238
1	2055	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	286	5155158	290	5087684	269	4735058
1	2055	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	284	5099187	286	5176552	271	4792409
1	2060	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	287	5300966	282	5255439	272	4811238
1	2060	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	288	5337847	292	5357296	269	4735058
1	2060	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	287	5284016	286	5282185	271	4792409
1	2065	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	289	5462412	290	5332557	272	4811238
1	2065	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	288	5502669	292	5716542	269	4735058
1	2065	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	288	5540901	280	5345914	271	4792409
1	2070	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	291	5711978	288	5821067	272	4811238
1	2070	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	289	5596127	292	5810734	269	4735058
1	2070	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	288	5613530	286	5730566	271	4792409
1	2075	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	292	5874870	290	5801572	272	4811238
1	2075	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	291	5863033	292	5894935	269	4735058
1	2075	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	289	5833893	288	5649265	271	4792409
1	2080	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	293	5907234	290	5923580	272	4811238
1	2080	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	292	5962686	292	5807472	269	4735058
1	2080	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	289	5812014	288	5814204	271	4792409
1	2085	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	294	6175469	292	6499764	272	4811238
1	2085	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	292	6115330	292	6113748	269	4735058
1	2085	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	290	5922244	290	6105451	271	4792409
1	2090	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	295	6068217	294	6023522	272	4811238
1	2090	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	292	6017986	294	6137612	269	4735058
1	2090	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	290	6006552	290	6101053	271	4792409
1	2095	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	294	5937780	294	5837480	272	4811238
1	2095	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	292	6110941	296	5921304	269	4735058
1	2095	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	291	5867596	292	5749712	271	4792409
1	2100	"1"	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"20%"	"reboisement"	"11161"	294	5853358	292	5877070	272	4811238
1	2100	"1"	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"20%"	"reboisement"	"11161"	291	5780211	292	5946004	269	4735058
1	2100	"1"	"climat stable - reboisement"	"climat stable"	"20%"	"reboisement"	"11161"	291	5785735	290	5601807	271	4792409
1	2025	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	264	4882770	264	4882770	256	4268638
1	2025	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	278	5084000	278	5084000	226	4391962
1	2025	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	276	4861698	276	4861698	256	4473878
1	2030	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	268	4706164	268	4706164	256	4268638
1	2030	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	278	4969566	278	4969566	226	4391962
1	2030	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	274	4925745	274	4925745	256	4473878
1	2035	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	266	4794989	266	4794989	256	4268638
1	2035	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	286	5071990	286	5071990	226	4391962
1	2035	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	272	4743846	272	4743846	256	4473878
1	2040	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	256	4268638	256	4268638	256	4268638
1	2040	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	278	4780112	278	4780112	226	4391962
1	2040	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	271	4787213	271	4787213	256	4473878
1	2045	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	264	4586561	264	4586561	256	4268638
1	2045	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	265	4541753	265	4541753	226	4391962
1	2045	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	278	4977938	278	4977938	256	4473878
1	2050	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	258	4671729	258	4671729	256	4268638
1	2050	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	264	4610613	264	4610613	226	4391962
1	2050	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	256	4473878	256	4473878	256	4473878
