"mgmt.unit"	"scen"	"Année"	"spp"	"spp cut"	"spp cut vol"	"spp cut total"	"spp cut vol total"	"Prop_brut"	"Prop_brut_vol"	"Proportion"	"Proportion volume"
"11161"	"SSP2-4.5 - reboisement"	2065	"Feuillus tolérants"	5	144931	288	5499109	0.017	0.026	0.0183333333333333	0.0266666666666667
"11161"	"SSP2-4.5 - reboisement"	2065	"Résineux"	157	2550448	288	5499109	0.545	0.464	0.567333333333333	0.489333333333333
"11161"	"SSP2-4.5 - reboisement"	2065	"Feuillus intolérants"	34	623954	288	5499109	0.118	0.113	0.122333333333333	0.118666666666667
"11161"	"SSP2-4.5 - reboisement"	2065	"Plantations résineuses"	92	2179776	288	5499109	0.319	0.396	0.291666666666667	0.364666666666667
"11161"	"SSP2-4.5 - reboisement"	2070	"Feuillus tolérants"	5	127632	291	5564258	0.017	0.023	0.0193333333333333	0.027
"11161"	"SSP2-4.5 - reboisement"	2070	"Résineux"	155	2520614	291	5564258	0.533	0.453	0.507	0.425666666666667
"11161"	"SSP2-4.5 - reboisement"	2070	"Feuillus intolérants"	39	724074	291	5564258	0.134	0.13	0.125666666666667	0.121
"11161"	"SSP2-4.5 - reboisement"	2070	"Plantations résineuses"	92	2191938	291	5564258	0.316	0.394	0.347666666666667	0.426
"11161"	"SSP2-4.5 - reboisement"	2075	"Feuillus tolérants"	7	189342	287	5895120	0.024	0.032	0.0253333333333333	0.031
"11161"	"SSP2-4.5 - reboisement"	2075	"Résineux"	127	2124640	287	5895120	0.443	0.36	0.479333333333333	0.397333333333333
"11161"	"SSP2-4.5 - reboisement"	2075	"Feuillus intolérants"	36	705544	287	5895120	0.125	0.12	0.131333333333333	0.125
"11161"	"SSP2-4.5 - reboisement"	2075	"Plantations résineuses"	117	2875594	287	5895120	0.408	0.488	0.364	0.446333333333333
"11161"	"SSP2-4.5 - reboisement"	2080	"Feuillus tolérants"	10	224980	288	5866159	0.035	0.038	0.0336666666666667	0.0386666666666667
"11161"	"SSP2-4.5 - reboisement"	2080	"Résineux"	133	2224428	288	5866159	0.462	0.379	0.449333333333333	0.367
"11161"	"SSP2-4.5 - reboisement"	2080	"Feuillus intolérants"	39	734323	288	5866159	0.135	0.125	0.136666666666667	0.125666666666667
"11161"	"SSP2-4.5 - reboisement"	2080	"Plantations résineuses"	106	2682428	288	5866159	0.368	0.457	0.380666666666667	0.468333333333333
"11161"	"SSP2-4.5 - reboisement"	2085	"Feuillus tolérants"	12	270816	287	5880606	0.042	0.046	0.041	0.045
"11161"	"SSP2-4.5 - reboisement"	2085	"Résineux"	127	2129693	287	5880606	0.443	0.362	0.424333333333333	0.345333333333333
"11161"	"SSP2-4.5 - reboisement"	2085	"Feuillus intolérants"	43	775644	287	5880606	0.15	0.132	0.15	0.133333333333333
