"mgmt.unit"	"Année"	"scen"	"bonif"	"ssp"	"area.per"	"area.total"
"11161"	2045	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	3.2	12.4
"11161"	2045	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	2.8	12.4
"11161"	2045	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	4.4	18.8
"11161"	2045	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	2.8	10.8
"11161"	2045	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	3.6	15.6
"11161"	2045	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	1.6	8.8
"11161"	2045	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	4.4	20.8
"11161"	2045	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	3.6	12.8
"11161"	2045	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	4	10.8
"11161"	2045	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	6	12
"11161"	2045	"climat stable - reboisement"	"reboisement"	"climat stable"	4	17.6
"11161"	2045	"climat stable - recup70%"	"recup70%"	"climat stable"	2.8	17.2
"11161"	2045	"climat stable - reference"	"reference"	"climat stable"	4.8	16
"11161"	2045	"climat stable - reserve"	"reserve"	"climat stable"	2.4	15.2
"11161"	2045	"climat stable - sans coupe"	"sans coupe"	"climat stable"	5.6	21.6
"11161"	2050	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	2	14.4
"11161"	2050	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	2	14.4
"11161"	2050	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	4.4	23.2
"11161"	2050	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	4.8	15.6
"11161"	2050	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	3.2	18.8
"11161"	2050	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	2.8	11.6
"11161"	2050	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0.8	21.6
"11161"	2050	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	4	16.8
"11161"	2050	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	1.2	12
"11161"	2050	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	2.4	14.4
"11161"	2050	"climat stable - reboisement"	"reboisement"	"climat stable"	6.4	24
"11161"	2050	"climat stable - recup70%"	"recup70%"	"climat stable"	3.6	20.8
"11161"	2050	"climat stable - reference"	"reference"	"climat stable"	2.8	18.8
"11161"	2050	"climat stable - reserve"	"reserve"	"climat stable"	6	21.2
"11161"	2050	"climat stable - sans coupe"	"sans coupe"	"climat stable"	4	25.6
"11161"	2055	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	1.2	15.6
"11161"	2055	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	3.2	17.6
"11161"	2055	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0.4	23.6
"11161"	2055	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	2.4	18
"11161"	2055	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	5.2	24
"11161"	2055	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	2	13.6
"11161"	2055	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	6.8	28.4
"11161"	2055	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	2	18.8
"11161"	2055	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	2.4	14.4
"11161"	2055	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	4.8	19.2
"11161"	2055	"climat stable - reboisement"	"reboisement"	"climat stable"	3.6	27.6
"11161"	2055	"climat stable - recup70%"	"recup70%"	"climat stable"	1.2	21.6
"11161"	2055	"climat stable - reference"	"reference"	"climat stable"	3.2	22
"11161"	2055	"climat stable - reserve"	"reserve"	"climat stable"	1.2	22.4
"11161"	2055	"climat stable - sans coupe"	"sans coupe"	"climat stable"	3.6	28.4
"11161"	2060	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	3.6	19.2
"11161"	2060	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0.4	18
"11161"	2060	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	2	25.6
"11161"	2060	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	5.2	23.2
"11161"	2060	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	3.6	27.2
"11161"	2060	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	4	17.2
"11161"	2060	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0.8	29.2
"11161"	2060	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	1.2	20
"11161"	2060	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	5.6	19.6
"11161"	2060	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	3.2	22.4
"11161"	2060	"climat stable - reboisement"	"reboisement"	"climat stable"	8.4	35.2
"11161"	2060	"climat stable - recup70%"	"recup70%"	"climat stable"	4.4	25.6
"11161"	2060	"climat stable - reference"	"reference"	"climat stable"	2.8	24.8
"11161"	2060	"climat stable - reserve"	"reserve"	"climat stable"	4.4	26.8
"11161"	2060	"climat stable - sans coupe"	"sans coupe"	"climat stable"	5.6	34
"11161"	2065	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	2.4	15.2
"11161"	2065	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	5.6	19.6
"11161"	2065	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	3.2	24.4
"11161"	2065	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	3.6	24.4
"11161"	2065	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	6	28.8
"11161"	2065	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	4.8	20
"11161"	2065	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	3.6	30.8
"11161"	2065	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	2	19.2
"11161"	2065	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	1.6	17.6
"11161"	2065	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	1.6	22
"11161"	2065	"climat stable - reboisement"	"reboisement"	"climat stable"	4	34.8
"11161"	2065	"climat stable - recup70%"	"recup70%"	"climat stable"	1.2	21.6
"11161"	2065	"climat stable - reference"	"reference"	"climat stable"	8	28.8
"11161"	2065	"climat stable - reserve"	"reserve"	"climat stable"	4.8	24.8
"11161"	2065	"climat stable - sans coupe"	"sans coupe"	"climat stable"	5.6	33.6
"11161"	2070	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	3.2	17.6
"11161"	2070	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	2	19.6
"11161"	2070	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0.8	16.4
"11161"	2070	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	2.8	24
"11161"	2070	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	3.2	29.2
"11161"	2070	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	4.4	19.6
"11161"	2070	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	3.6	29.2
"11161"	2070	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	3.2	19.2
"11161"	2070	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	3.2	18.8
"11161"	2070	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	5.2	25.6
"11161"	2070	"climat stable - reboisement"	"reboisement"	"climat stable"	7.2	40
"11161"	2070	"climat stable - recup70%"	"recup70%"	"climat stable"	5.6	20.8
"11161"	2070	"climat stable - reference"	"reference"	"climat stable"	1.6	26
"11161"	2070	"climat stable - reserve"	"reserve"	"climat stable"	4.4	28
"11161"	2070	"climat stable - sans coupe"	"sans coupe"	"climat stable"	2.8	32
"11161"	2075	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0.8	16.4
"11161"	2075	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	2.4	18
"11161"	2075	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	2	16.4
"11161"	2075	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	1.2	22.4
"11161"	2075	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	4.8	26.4
"11161"	2075	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	3.2	22
"11161"	2075	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	10	29.6
"11161"	2075	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	2	18
"11161"	2075	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	2.4	19.6
"11161"	2075	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	3.6	26.4
"11161"	2075	"climat stable - reboisement"	"reboisement"	"climat stable"	6	39.2
"11161"	2075	"climat stable - recup70%"	"recup70%"	"climat stable"	2.4	20
"11161"	2075	"climat stable - reference"	"reference"	"climat stable"	3.2	26.4
"11161"	2075	"climat stable - reserve"	"reserve"	"climat stable"	3.6	26.4
"11161"	2075	"climat stable - sans coupe"	"sans coupe"	"climat stable"	2.4	28.4
"11161"	2080	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	2	15.2
"11161"	2080	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	2.8	17.6
"11161"	2080	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	6	18
"11161"	2080	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	2.8	22.4
"11161"	2080	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	0.8	24.4
"11161"	2080	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	2.8	22.8
"11161"	2080	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	2.8	26.8
"11161"	2080	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	2.8	17.2
"11161"	2080	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	6	22
"11161"	2080	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	2	22.8
"11161"	2080	"climat stable - reboisement"	"reboisement"	"climat stable"	3.6	38.4
