"mgmt.unit"	"Année"	"scen"	"bonif"	"ssp"	"area.acc"	"area.CT"	"area.salv"	"area.total"	"area.acc.mean"	"area.CT.mean"	"area.salv.mean"	"area.total.mean"
"11161"	2040	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	123.6	0.4	123.6	0	123.6	0.133333333333333	123.6
"11161"	2040	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	42.8	0.8	42.8	0	43.0666666666667	0.4	43.0666666666667
"11161"	2040	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	42.4	0.4	42.4	0	42.8	0.4	42.8
"11161"	2040	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	42	0.4	42	0	42.4	0.133333333333333	42.4
"11161"	2040	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	43.6	0	43.6	0	43.8666666666667	0	43.8666666666667
"11161"	2040	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	122.8	0	122.8	0.266666666666667	123.466666666667	0.4	123.733333333333
"11161"	2040	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0	43.2	1.6	43.2	0.266666666666667	42.5333333333333	0.933333333333333	42.8
"11161"	2040	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	42.8	0.4	42.8	0	42.1333333333333	0.133333333333333	42.1333333333333
"11161"	2040	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	42.4	0	42.4	0	43.0666666666667	0	43.0666666666667
"11161"	2040	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44	0	44	0	43.8666666666667	0	43.8666666666667
"11161"	2040	"climat stable - reboisement"	"reboisement"	"climat stable"	0.4	126	1.2	126.4	0.133333333333333	125.6	0.533333333333333	125.733333333333
"11161"	2040	"climat stable - recup70%"	"recup70%"	"climat stable"	0.4	42	0.8	42.4	0.266666666666667	42.5333333333333	0.666666666666667	42.8
"11161"	2040	"climat stable - reference"	"reference"	"climat stable"	0	43.2	0	43.2	0	43.2	0	43.2
"11161"	2040	"climat stable - reserve"	"reserve"	"climat stable"	0	42.8	0	42.8	0	42.9333333333333	0	42.9333333333333
"11161"	2040	"climat stable - sans feu"	"sans feu"	"climat stable"	0	44	0	44	0	44	0	44
"11161"	2045	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	124	0	124	0	124.4	0.133333333333333	124.4
"11161"	2045	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	43.2	0	43.2	0	42.9333333333333	0.266666666666667	42.9333333333333
"11161"	2045	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	42.4	0.4	42.4	0	42.2666666666667	0.266666666666667	42.2666666666667
"11161"	2045	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	42.4	0	42.4	0	42.4	0.133333333333333	42.4
"11161"	2045	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44	0	44	0	44	0	44
"11161"	2045	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	124	0	124	0	125.066666666667	0.133333333333333	125.066666666667
"11161"	2045	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0.4	41.6	0.4	42	0.133333333333333	42.4	0.8	42.5333333333333
"11161"	2045	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	41.2	0	41.2	0	42.4	0.133333333333333	42.4
"11161"	2045	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	43.6	0	43.6	0	43.2	0	43.2
"11161"	2045	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44	0	44	0	44	0	44
"11161"	2045	"climat stable - reboisement"	"reboisement"	"climat stable"	0	125.2	0.4	125.2	0.133333333333333	125.066666666667	0.666666666666667	125.2
"11161"	2045	"climat stable - recup70%"	"recup70%"	"climat stable"	0	42.4	0	42.4	0.266666666666667	42.1333333333333	0.4	42.4
"11161"	2045	"climat stable - reference"	"reference"	"climat stable"	0	42.4	0	42.4	0	42.9333333333333	0	42.9333333333333
"11161"	2045	"climat stable - reserve"	"reserve"	"climat stable"	0	42.8	0	42.8	0	42.6666666666667	0.133333333333333	42.6666666666667
"11161"	2045	"climat stable - sans feu"	"sans feu"	"climat stable"	0	44	0	44	0	44	0	44
"11161"	2050	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	125.6	0	125.6	0	126.666666666667	0.266666666666667	126.666666666667
"11161"	2050	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	42.8	0	42.8	0	43.4666666666667	0.133333333333333	43.4666666666667
"11161"	2050	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	42	0	42	0	42.8	0.133333333333333	42.8
"11161"	2050	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	42.8	0	42.8	0	43.0666666666667	0	43.0666666666667
"11161"	2050	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44.4	0	44.4	0	44.2666666666667	0	44.2666666666667
"11161"	2050	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	128.4	0.4	128.4	0	127.333333333333	0.266666666666667	127.333333333333
"11161"	2050	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0	42.4	0.4	42.4	0.266666666666667	42.1333333333333	0.8	42.4
"11161"	2050	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	43.2	0	43.2	0	42.6666666666667	0	42.6666666666667
"11161"	2050	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	43.6	0	43.6	0	43.7333333333333	0	43.7333333333333
"11161"	2050	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44	0	44	0	44.2666666666667	0	44.2666666666667
"11161"	2050	"climat stable - reboisement"	"reboisement"	"climat stable"	0	124	0.4	124	0	127.2	0.4	127.2
"11161"	2050	"climat stable - recup70%"	"recup70%"	"climat stable"	0.4	42	0.4	42.4	0.133333333333333	42.2666666666667	0.133333333333333	42.4
"11161"	2050	"climat stable - reference"	"reference"	"climat stable"	0	43.2	0	43.2	0	43.3333333333333	0	43.3333333333333
"11161"	2050	"climat stable - reserve"	"reserve"	"climat stable"	0	42.4	0.4	42.4	0	42.9333333333333	0.133333333333333	42.9333333333333
"11161"	2050	"climat stable - sans feu"	"sans feu"	"climat stable"	0	44	0	44	0	44.1333333333333	0	44.1333333333333
"11161"	2055	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	130.4	0.8	130.4	0	130.533333333333	0.266666666666667	130.533333333333
"11161"	2055	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	44.4	0.4	44.4	0	44.1333333333333	0.266666666666667	44.1333333333333
"11161"	2055	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	44	0	44	0	43.2	0	43.2
"11161"	2055	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	44	0	44	0	43.8666666666667	0	43.8666666666667
"11161"	2055	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44.4	0	44.4	0	44.4	0	44.4
"11161"	2055	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	129.6	0.4	129.6	0	130.533333333333	0.533333333333333	130.533333333333
"11161"	2055	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0.4	42.4	1.6	42.8	0.133333333333333	43.0666666666667	0.933333333333333	43.2
"11161"	2055	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	43.6	0	43.6	0	43.6	0	43.6
"11161"	2055	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	44	0	44	0	43.8666666666667	0	43.8666666666667
"11161"	2055	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44.8	0	44.8	0	44.5333333333333	0	44.5333333333333
"11161"	2055	"climat stable - reboisement"	"reboisement"	"climat stable"	0	132.4	0.4	132.4	0	130	0.4	130
"11161"	2055	"climat stable - recup70%"	"recup70%"	"climat stable"	0	42.4	0	42.4	0.266666666666667	42.6666666666667	0.266666666666667	42.9333333333333
"11161"	2055	"climat stable - reference"	"reference"	"climat stable"	0	44.4	0	44.4	0	44	0	44
"11161"	2055	"climat stable - reserve"	"reserve"	"climat stable"	0	43.6	0	43.6	0	43.3333333333333	0.133333333333333	43.3333333333333
"11161"	2055	"climat stable - sans feu"	"sans feu"	"climat stable"	0	44.4	0	44.4	0	44.2666666666667	0	44.2666666666667
"11161"	2060	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	135.6	0	135.6	0	133.733333333333	0.4	133.733333333333
"11161"	2060	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	45.2	0.4	45.2	0	45.4666666666667	1.2	45.4666666666667
