"mgmt.unit"	"Année"	"scen"	"Superficie"	"med_area"
"11161"	2055	"SSP3-7.0 - reboisement"	76.8	76.8
"11161"	2060	"SSP3-7.0 - reboisement"	69.6	76.8
"11161"	2065	"SSP3-7.0 - reboisement"	136.8	76.8
"11161"	2070	"SSP3-7.0 - reboisement"	116.4	76.8
"11161"	2075	"SSP3-7.0 - reboisement"	168	76.8
"11161"	2080	"SSP3-7.0 - reboisement"	100.4	76.8
"11161"	2085	"SSP3-7.0 - reboisement"	94.4	76.8
"11161"	2090	"SSP3-7.0 - reboisement"	57.6	76.8
"11161"	2095	"SSP3-7.0 - reboisement"	82	76.8
"11161"	2100	"SSP3-7.0 - reboisement"	68.4	76.8
"11161"	2025	"SSP3-7.0 - recup70%"	0	NA
"11161"	2030	"SSP3-7.0 - recup70%"	68.4	68.4
"11161"	2035	"SSP3-7.0 - recup70%"	47.6	68.4
"11161"	2040	"SSP3-7.0 - recup70%"	169.6	68.4
"11161"	2045	"SSP3-7.0 - recup70%"	66.8	68.4
"11161"	2050	"SSP3-7.0 - recup70%"	58.4	68.4
"11161"	2055	"SSP3-7.0 - recup70%"	147.2	68.4
"11161"	2060	"SSP3-7.0 - recup70%"	52.4	68.4
"11161"	2065	"SSP3-7.0 - recup70%"	71.2	68.4
"11161"	2070	"SSP3-7.0 - recup70%"	107.6	68.4
"11161"	2075	"SSP3-7.0 - recup70%"	191.2	68.4
"11161"	2080	"SSP3-7.0 - recup70%"	71.6	68.4
"11161"	2085	"SSP3-7.0 - recup70%"	60	68.4
"11161"	2090	"SSP3-7.0 - recup70%"	125.6	68.4
"11161"	2095	"SSP3-7.0 - recup70%"	62.8	68.4
"11161"	2100	"SSP3-7.0 - recup70%"	42.4	68.4
"11161"	2025	"SSP3-7.0 - reference"	0	NA
"11161"	2030	"SSP3-7.0 - reference"	72.4	66
"11161"	2035	"SSP3-7.0 - reference"	84	66
"11161"	2040	"SSP3-7.0 - reference"	96	66
"11161"	2045	"SSP3-7.0 - reference"	46.8	66
"11161"	2050	"SSP3-7.0 - reference"	35.6	66
"11161"	2055	"SSP3-7.0 - reference"	58.4	66
"11161"	2060	"SSP3-7.0 - reference"	41.2	66
"11161"	2065	"SSP3-7.0 - reference"	40.8	66
"11161"	2070	"SSP3-7.0 - reference"	68.8	66
"11161"	2075	"SSP3-7.0 - reference"	52.8	66
"11161"	2080	"SSP3-7.0 - reference"	66	66
"11161"	2085	"SSP3-7.0 - reference"	82.8	66
"11161"	2090	"SSP3-7.0 - reference"	43.2	66
"11161"	2095	"SSP3-7.0 - reference"	106.8	66
"11161"	2100	"SSP3-7.0 - reference"	84.8	66
"11161"	2025	"SSP3-7.0 - reserve"	0	NA
"11161"	2030	"SSP3-7.0 - reserve"	68.4	66.4
"11161"	2035	"SSP3-7.0 - reserve"	66.4	66.4
"11161"	2040	"SSP3-7.0 - reserve"	40	66.4
"11161"	2045	"SSP3-7.0 - reserve"	68.4	66.4
"11161"	2050	"SSP3-7.0 - reserve"	43.2	66.4
"11161"	2055	"SSP3-7.0 - reserve"	56.8	66.4
"11161"	2060	"SSP3-7.0 - reserve"	108.4	66.4
"11161"	2065	"SSP3-7.0 - reserve"	38	66.4
"11161"	2070	"SSP3-7.0 - reserve"	134.4	66.4
"11161"	2075	"SSP3-7.0 - reserve"	60.8	66.4
"11161"	2080	"SSP3-7.0 - reserve"	190.4	66.4
"11161"	2085	"SSP3-7.0 - reserve"	134.8	66.4
"11161"	2090	"SSP3-7.0 - reserve"	104.4	66.4
"11161"	2095	"SSP3-7.0 - reserve"	28.8	66.4
"11161"	2100	"SSP3-7.0 - reserve"	34	66.4
"11161"	2025	"SSP3-7.0 - sans coupe"	0	NA
"11161"	2030	"SSP3-7.0 - sans coupe"	88.8	92.4
"11161"	2035	"SSP3-7.0 - sans coupe"	32.8	92.4
"11161"	2040	"SSP3-7.0 - sans coupe"	92.4	92.4
"11161"	2045	"SSP3-7.0 - sans coupe"	127.2	92.4
"11161"	2050	"SSP3-7.0 - sans coupe"	83.6	92.4
"11161"	2055	"SSP3-7.0 - sans coupe"	128.8	92.4
"11161"	2060	"SSP3-7.0 - sans coupe"	60	92.4
"11161"	2065	"SSP3-7.0 - sans coupe"	113.6	92.4
"11161"	2070	"SSP3-7.0 - sans coupe"	88.4	92.4
"11161"	2075	"SSP3-7.0 - sans coupe"	107.6	92.4
"11161"	2080	"SSP3-7.0 - sans coupe"	96	92.4
"11161"	2085	"SSP3-7.0 - sans coupe"	102.8	92.4
"11161"	2090	"SSP3-7.0 - sans coupe"	52.8	92.4
"11161"	2095	"SSP3-7.0 - sans coupe"	122.8	92.4
"11161"	2100	"SSP3-7.0 - sans coupe"	62.8	92.4
"11161"	2025	"climat stable - reboisement"	0	NA
"11161"	2030	"climat stable - reboisement"	57.2	77.6
"11161"	2035	"climat stable - reboisement"	35.6	77.6
"11161"	2040	"climat stable - reboisement"	102.4	77.6
"11161"	2045	"climat stable - reboisement"	48	77.6
"11161"	2050	"climat stable - reboisement"	77.6	77.6
"11161"	2055	"climat stable - reboisement"	110.4	77.6
"11161"	2060	"climat stable - reboisement"	97.2	77.6
"11161"	2065	"climat stable - reboisement"	82	77.6
"11161"	2070	"climat stable - reboisement"	96	77.6
"11161"	2075	"climat stable - reboisement"	122.4	77.6
"11161"	2080	"climat stable - reboisement"	98	77.6
"11161"	2085	"climat stable - reboisement"	16.4	77.6
"11161"	2090	"climat stable - reboisement"	58	77.6
"11161"	2095	"climat stable - reboisement"	46	77.6
"11161"	2100	"climat stable - reboisement"	39.6	77.6
"11161"	2025	"climat stable - recup70%"	0	NA
"11161"	2030	"climat stable - recup70%"	76	60.8
"11161"	2035	"climat stable - recup70%"	82.8	60.8
"11161"	2040	"climat stable - recup70%"	54	60.8
"11161"	2045	"climat stable - recup70%"	42.4	60.8
"11161"	2050	"climat stable - recup70%"	45.6	60.8
"11161"	2055	"climat stable - recup70%"	26.8	60.8
"11161"	2060	"climat stable - recup70%"	66.4	60.8
"11161"	2065	"climat stable - recup70%"	20	60.8
"11161"	2070	"climat stable - recup70%"	113.2	60.8
"11161"	2075	"climat stable - recup70%"	60.8	60.8
"11161"	2080	"climat stable - recup70%"	106.8	60.8
"11161"	2085	"climat stable - recup70%"	69.6	60.8
"11161"	2090	"climat stable - recup70%"	104.4	60.8
"11161"	2095	"climat stable - recup70%"	42	60.8
"11161"	2100	"climat stable - recup70%"	36.4	60.8
"11161"	2025	"climat stable - reference"	0	NA
"11161"	2030	"climat stable - reference"	49.6	60
"11161"	2035	"climat stable - reference"	77.6	60
"11161"	2040	"climat stable - reference"	41.2	60
"11161"	2045	"climat stable - reference"	62.8	60
"11161"	2050	"climat stable - reference"	44	60
"11161"	2055	"climat stable - reference"	57.2	60
"11161"	2060	"climat stable - reference"	60	60
"11161"	2065	"climat stable - reference"	178	60
"11161"	2070	"climat stable - reference"	22	60
"11161"	2075	"climat stable - reference"	40.8	60
