"mgmt.unit"	"Année"	"scen"	"Historique"	"brfuel"	"Climat"	"Climat&Végétation"
"11161"	2040	"SSP3-7.0 - reference"	0.00742	0.00784	0.00742	0.00784
"11161"	2040	"SSP3-7.0 - reserve"	0.00742	0.00786	0.00742	0.00786
"11161"	2040	"SSP3-7.0 - sans coupe"	0.00742	0.00849	0.00742	0.00849
"11161"	2040	"SSP3-7.0 - sans feu"	0.00742	0.00796	0.00742	0.00796
"11161"	2040	"SSP3-7.0 - sans pert"	0.00742	0.00856	0.00742	0.00856
"11161"	2040	"climat stable - reboisement"	0.00742	0.00793	0.00742	0.00793
"11161"	2040	"climat stable - recup70%"	0.00742	0.00786	0.00742	0.00786
"11161"	2040	"climat stable - reference"	0.00742	0.00786	0.00742	0.00786
"11161"	2040	"climat stable - reserve"	0.00742	0.00792	0.00742	0.00792
"11161"	2040	"climat stable - sans coupe"	0.00742	0.0085	0.00742	0.0085
"11161"	2040	"climat stable - sans feu"	0.00742	0.00799	0.00742	0.00799
"11161"	2040	"climat stable - sans pert"	0.00742	0.0086	0.00742	0.0086
"11161"	2045	"SSP2-4.5 - reboisement"	0.00742	0.00811	0.00837	0.0092
"11161"	2045	"SSP2-4.5 - recup70%"	0.00742	0.00804	0.00837	0.00912
"11161"	2045	"SSP2-4.5 - reference"	0.00742	0.00801	0.00837	0.00911
"11161"	2045	"SSP2-4.5 - reserve"	0.00742	0.00812	0.00837	0.00918
"11161"	2045	"SSP2-4.5 - sans coupe"	0.00742	0.00886	0.00837	0.01003
"11161"	2045	"SSP2-4.5 - sans feu"	0.00742	0.00819	0.00837	0.0093
"11161"	2045	"SSP2-4.5 - sans pert"	0.00742	0.00898	0.00837	0.01022
"11161"	2045	"SSP3-7.0 - reboisement"	0.00742	0.00813	0.00943	0.01031
"11161"	2045	"SSP3-7.0 - recup70%"	0.00742	0.00803	0.00943	0.01019
"11161"	2045	"SSP3-7.0 - reference"	0.00742	0.008	0.00943	0.01018
"11161"	2045	"SSP3-7.0 - reserve"	0.00742	0.00805	0.00943	0.01023
"11161"	2045	"SSP3-7.0 - sans coupe"	0.00742	0.00882	0.00943	0.01118
"11161"	2045	"SSP3-7.0 - sans feu"	0.00742	0.00818	0.00943	0.01038
"11161"	2045	"SSP3-7.0 - sans pert"	0.00742	0.00897	0.00943	0.01138
"11161"	2045	"climat stable - reboisement"	0.00742	0.0081	0.00742	0.0081
"11161"	2045	"climat stable - recup70%"	0.00742	0.00807	0.00742	0.00807
"11161"	2045	"climat stable - reference"	0.00742	0.00808	0.00742	0.00808
"11161"	2045	"climat stable - reserve"	0.00742	0.00811	0.00742	0.00811
"11161"	2045	"climat stable - sans coupe"	0.00742	0.0089	0.00742	0.0089
"11161"	2045	"climat stable - sans feu"	0.00742	0.00824	0.00742	0.00824
"11161"	2045	"climat stable - sans pert"	0.00742	0.00903	0.00742	0.00903
"11161"	2050	"SSP2-4.5 - reboisement"	0.00742	0.00812	0.00837	0.00923
"11161"	2050	"SSP2-4.5 - recup70%"	0.00742	0.00808	0.00837	0.00919
"11161"	2050	"SSP2-4.5 - reference"	0.00742	0.0081	0.00837	0.00918
"11161"	2050	"SSP2-4.5 - reserve"	0.00742	0.00814	0.00837	0.00928
"11161"	2050	"SSP2-4.5 - sans coupe"	0.00742	0.00905	0.00837	0.01029
"11161"	2050	"SSP2-4.5 - sans feu"	0.00742	0.00831	0.00837	0.00942
"11161"	2050	"SSP2-4.5 - sans pert"	0.00742	0.00931	0.00837	0.01055
"11161"	2050	"SSP3-7.0 - reboisement"	0.00742	0.0082	0.00943	0.01038
"11161"	2050	"SSP3-7.0 - recup70%"	0.00742	0.0081	0.00943	0.01025
"11161"	2050	"SSP3-7.0 - reference"	0.00742	0.00808	0.00943	0.01027
"11161"	2050	"SSP3-7.0 - reserve"	0.00742	0.00811	0.00943	0.0103
"11161"	2050	"SSP3-7.0 - sans coupe"	0.00742	0.00904	0.00943	0.01148
"11161"	2050	"SSP3-7.0 - sans feu"	0.00742	0.00829	0.00943	0.01052
"11161"	2050	"SSP3-7.0 - sans pert"	0.00742	0.00931	0.00943	0.01179
"11161"	2050	"climat stable - reboisement"	0.00742	0.00817	0.00742	0.00817
"11161"	2050	"climat stable - recup70%"	0.00742	0.00817	0.00742	0.00817
"11161"	2050	"climat stable - reference"	0.00742	0.00814	0.00742	0.00814
"11161"	2050	"climat stable - reserve"	0.00742	0.00819	0.00742	0.00819
