"mgmt.unit"	"Année"	"scen"	"ssp"	"bonif"	"spp"	"area"	"Proportion"
"11161"	2020	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Résineux"	4320	0.638
"11161"	2020	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Plantations résineuses"	1020	0.151
"11161"	2020	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Feuillus tolérants"	520	0.077
"11161"	2020	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Résineux"	4320	0.638
"11161"	2020	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Feuillus intolérants"	912	0.135
"11161"	2020	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Plantations résineuses"	1020	0.151
"11161"	2020	"climat stable - reboisement"	"climat stable"	"reboisement"	"Feuillus tolérants"	520	0.077
"11161"	2020	"climat stable - reboisement"	"climat stable"	"reboisement"	"Résineux"	4320	0.638
"11161"	2020	"climat stable - reboisement"	"climat stable"	"reboisement"	"Feuillus intolérants"	912	0.135
"11161"	2020	"climat stable - reboisement"	"climat stable"	"reboisement"	"Plantations résineuses"	1020	0.151
"11161"	2020	"climat stable - recup70%"	"climat stable"	"recup70%"	"Feuillus tolérants"	520	0.077
"11161"	2020	"climat stable - recup70%"	"climat stable"	"recup70%"	"Résineux"	4320	0.638
"11161"	2020	"climat stable - recup70%"	"climat stable"	"recup70%"	"Feuillus intolérants"	912	0.135
"11161"	2020	"climat stable - recup70%"	"climat stable"	"recup70%"	"Plantations résineuses"	1020	0.151
"11161"	2020	"climat stable - reference"	"climat stable"	"reference"	"Feuillus tolérants"	520	0.077
"11161"	2020	"climat stable - reference"	"climat stable"	"reference"	"Résineux"	4320	0.638
"11161"	2020	"climat stable - reference"	"climat stable"	"reference"	"Feuillus intolérants"	912	0.135
"11161"	2020	"climat stable - reference"	"climat stable"	"reference"	"Plantations résineuses"	1020	0.151
"11161"	2020	"climat stable - reserve"	"climat stable"	"reserve"	"Feuillus tolérants"	520	0.077
"11161"	2020	"climat stable - reserve"	"climat stable"	"reserve"	"Résineux"	4320	0.638
"11161"	2020	"climat stable - reserve"	"climat stable"	"reserve"	"Feuillus intolérants"	912	0.135
"11161"	2020	"climat stable - reserve"	"climat stable"	"reserve"	"Plantations résineuses"	1020	0.151
"11161"	2020	"climat stable - sans coupe"	"climat stable"	"sans coupe"	"Feuillus tolérants"	520	0.077
"11161"	2020	"climat stable - sans coupe"	"climat stable"	"sans coupe"	"Résineux"	4320	0.638
"11161"	2020	"climat stable - sans coupe"	"climat stable"	"sans coupe"	"Feuillus intolérants"	912	0.135
"11161"	2020	"climat stable - sans coupe"	"climat stable"	"sans coupe"	"Plantations résineuses"	1020	0.151
"11161"	2020	"climat stable - sans feu"	"climat stable"	"sans feu"	"Feuillus tolérants"	520	0.077
"11161"	2020	"climat stable - sans feu"	"climat stable"	"sans feu"	"Résineux"	4320	0.638
"11161"	2020	"climat stable - sans feu"	"climat stable"	"sans feu"	"Feuillus intolérants"	912	0.135
"11161"	2020	"climat stable - sans feu"	"climat stable"	"sans feu"	"Plantations résineuses"	1020	0.151
"11161"	2020	"climat stable - sans pert"	"climat stable"	"sans pert"	"Feuillus tolérants"	520	0.077
"11161"	2020	"climat stable - sans pert"	"climat stable"	"sans pert"	"Résineux"	4320	0.638
"11161"	2020	"climat stable - sans pert"	"climat stable"	"sans pert"	"Feuillus intolérants"	912	0.135
"11161"	2020	"climat stable - sans pert"	"climat stable"	"sans pert"	"Plantations résineuses"	1020	0.151
"11161"	2025	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Feuillus tolérants"	539.2	0.08
"11161"	2025	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Résineux"	4165.6	0.615
"11161"	2025	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Feuillus intolérants"	921.2	0.136
"11161"	2025	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Plantations résineuses"	1146	0.169
"11161"	2025	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Feuillus tolérants"	552.8	0.082
"11161"	2025	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Résineux"	4215.2	0.622
"11161"	2025	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Feuillus intolérants"	940	0.139
"11161"	2025	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Plantations résineuses"	1064	0.157
"11161"	2025	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Feuillus tolérants"	541.6	0.08
"11161"	2025	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Résineux"	4219.2	0.623
"11161"	2025	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Feuillus intolérants"	948	0.14
"11161"	2025	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Plantations résineuses"	1063.2	0.157
"11161"	2025	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Feuillus tolérants"	546.8	0.081
"11161"	2025	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Résineux"	4223.2	0.624
"11161"	2025	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Feuillus intolérants"	938.4	0.139
"11161"	2025	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Plantations résineuses"	1063.6	0.157
"11161"	2025	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Feuillus tolérants"	538.8	0.08
"11161"	2025	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Résineux"	4296.8	0.634
"11161"	2025	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Feuillus intolérants"	916.4	0.135
"11161"	2025	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Plantations résineuses"	1020	0.151
"11161"	2025	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Feuillus tolérants"	550	0.081
"11161"	2025	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Résineux"	4226.4	0.624
"11161"	2025	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Feuillus intolérants"	932	0.138
"11161"	2025	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Plantations résineuses"	1063.6	0.157
"11161"	2025	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Feuillus tolérants"	537.6	0.079
