"Année"	"mgmt.unit"	"scen"	"Bois marchand"	"Bois autre"	"Feuillage"	"Racines grossières"	"Racines fines"	"Bois mort"	"très rapide"	"rapide"	"moyenne"	"lente aérien"	"Produits du bois"	"Atmosphère décomposition"	"Atmosphère perturbation"	"lente souterrain"	"PPN"	"PEN"	"PBN"
2040	"2751"	"SSP3-7.0 - recup70%"	20.201	10.17	3.347	7.423	1.585	5.407	7.138	8.279	11.497	25.699	0.239571	2.637821	0.075306	80.876	3.035837	0.398016	0.083139
2040	"2751"	"SSP3-7.0 - reference"	20.327	10.207	3.364	7.46	1.591	5.43	7.164	8.288	11.441	25.667	0.24784	2.643868	0.09994	80.869	3.053217	0.409349	0.061569
2040	"2751"	"SSP3-7.0 - reserve"	20.777	10.35	3.42	7.595	1.608	5.629	7.199	8.137	11.457	25.606	0.202868	2.633452	0.089306	80.865	3.072421	0.438969	0.146795
2040	"2751"	"SSP3-7.0 - sans coupe"	23.432	11.003	3.75	8.318	1.692	7.11	7.423	7.515	11.411	25.339	0	2.612407	0.099254	80.865	3.112431	0.500024	0.40077
2040	"2751"	"SSP3-7.0 - sans feu"	21.416	10.579	3.525	7.772	1.633	4.816	7.417	8.188	11.111	25.839	0.253581	2.661321	0	80.876	3.102923	0.441602	0.188022
2040	"2751"	"SSP3-7.0 - sans pert"	25.93	11.75	4.089	9.019	1.773	5.731	7.911	7.202	10.616	25.68	0	2.637735	0	80.876	3.214224	0.576489	0.576489
2040	"2751"	"climat stable - reboisement"	20.368	10.201	3.38	7.45	1.59	5.338	7.729	8.594	11.563	25.694	0.24745	2.591476	0.079563	80.84	3.019117	0.42764	0.100627
2040	"2751"	"climat stable - recup70%"	19.827	10.074	3.323	7.289	1.577	5.531	7.637	8.588	11.785	25.657	0.235831	2.579083	0.094255	80.843	2.994776	0.415694	0.085607
2040	"2751"	"climat stable - reference"	18.445	9.655	3.126	6.922	1.532	6.213	7.301	8.659	12.284	25.368	0.219287	2.549556	0.149475	80.816	2.932489	0.382934	0.014172
2040	"2751"	"climat stable - reserve"	20.87	10.337	3.449	7.58	1.607	5.571	7.772	8.436	11.535	25.652	0.199797	2.582014	0.07905	80.84	3.032801	0.450786	0.171939
2040	"2751"	"climat stable - sans coupe"	23.643	11.043	3.793	8.343	1.696	7.019	8.035	7.769	11.416	25.404	0	2.566471	0.145125	80.837	3.102534	0.536063	0.390937
2040	"2751"	"climat stable - sans feu"	21.271	10.516	3.516	7.707	1.626	4.839	7.965	8.517	11.292	25.845	0.252915	2.608943	0	80.848	3.06994	0.460996	0.208082
2040	"2751"	"climat stable - sans pert"	25.783	11.705	4.079	8.96	1.77	5.768	8.497	7.483	10.788	25.685	0	2.587036	0	80.848	3.191693	0.604657	0.604657
2045	"2751"	"SSP2-4.5 - reboisement"	20.599	10.274	3.379	7.54	1.595	5.066	6.988	8.226	11.25	25.834	0.243967	2.697658	0.060883	80.859	3.062504	0.364846	0.059995
2045	"2751"	"SSP2-4.5 - recup70%"	20.747	10.319	3.406	7.572	1.6	5.036	7.03	8.263	11.195	25.917	0.24953	2.708334	0.087629	80.878	3.079392	0.371058	0.033899
2045	"2751"	"SSP2-4.5 - reference"	19.862	10.091	3.29	7.333	1.577	5.553	6.88	8.262	11.536	25.732	0.22423	2.688137	0.091374	80.857	3.034099	0.345962	0.030358
2045	"2751"	"SSP2-4.5 - reserve"	20.467	10.234	3.36	7.508	1.592	5.654	6.917	8.151	11.471	25.673	0.205992	2.685623	0.123779	80.849	3.061102	0.37548	0.045708
2045	"2751"	"SSP2-4.5 - sans coupe"	25.637	11.488	3.989	8.917	1.738	6.474	7.51	7.411	10.836	25.664	0	2.704332	0.114588	80.876	3.180934	0.476602	0.362014
2045	"2751"	"SSP2-4.5 - sans feu"	21.993	10.678	3.577	7.913	1.642	4.385	7.272	8.175	10.799	26.077	0.259121	2.726946	0	80.881	3.124411	0.397464	0.138344
2045	"2751"	"SSP2-4.5 - sans pert"	27.451	12.012	4.24	9.409	1.798	5.501	7.848	7.221	10.283	25.912	0	2.721913	0	80.893	3.241672	0.519759	0.519759
2045	"2751"	"SSP3-7.0 - reboisement"	20.828	10.365	3.416	7.605	1.605	4.986	7.08	8.203	11.183	25.85	0.243822	2.691901	0.046851	80.862	3.081464	0.389563	0.09889
2045	"2751"	"SSP3-7.0 - recup70%"	20.004	10.057	3.291	7.361	1.57	5.455	6.875	8.306	11.4	25.781	0.239368	2.680272	0.168998	80.872	3.046976	0.366704	-0.041662
2045	"2751"	"SSP3-7.0 - reference"	20.425	10.19	3.345	7.488	1.586	5.278	6.97	8.274	11.264	25.781	0.242372	2.687063	0.114937	80.862	3.063405	0.376341	0.019033
2045	"2751"	"SSP3-7.0 - reserve"	21.321	10.492	3.471	7.75	1.622	5.239	7.117	8.076	11.204	25.771	0.209046	2.686806	0.05021	80.858	3.092354	0.405548	0.146292
2045	"2751"	"SSP3-7.0 - sans coupe"	24.192	11.152	3.81	8.533	1.704	7.09	7.336	7.5	11.333	25.443	0	2.677482	0.130615	80.861	3.139111	0.461629	0.331014
2045	"2751"	"SSP3-7.0 - sans feu"	22.055	10.698	3.58	7.934	1.643	4.392	7.311	8.166	10.764	26.053	0.259085	2.716268	0	80.881	3.128977	0.412709	0.153624
2045	"2751"	"SSP3-7.0 - sans pert"	27.503	12.028	4.242	9.426	1.799	5.501	7.881	7.214	10.253	25.889	0	2.710656	0	80.893	3.241793	0.531137	0.531137
2045	"2751"	"climat stable - reboisement"	20.736	10.292	3.412	7.551	1.598	4.945	7.784	8.648	11.364	25.882	0.247698	2.596682	0.04258	80.824	3.034229	0.437547	0.147269
2045	"2751"	"climat stable - recup70%"	20.335	10.222	3.375	7.437	1.592	5.059	7.729	8.583	11.573	25.845	0.232593	2.582558	0.037519	80.823	3.028289	0.445731	0.175618
2045	"2751"	"climat stable - reference"	18.86	9.873	3.18	7.074	1.554	5.649	7.439	8.562	12.127	25.525	0.215816	2.549912	0.062823	80.778	2.965011	0.415098	0.13646
2045	"2751"	"climat stable - reserve"	21.443	10.468	3.502	7.739	1.62	5.156	7.859	8.472	11.333	25.836	0.204208	2.590323	0.040551	80.824	3.048905	0.458582	0.213823
2045	"2751"	"climat stable - sans coupe"	24.764	11.28	3.906	8.647	1.72	6.734	8.196	7.792	11.302	25.571	0	2.583996	0.064613	80.826	3.112194	0.528198	0.463585
2045	"2751"	"climat stable - sans feu"	21.861	10.622	3.568	7.854	1.636	4.421	8.04	8.611	11.017	26.074	0.258766	2.621349	0	80.842	3.094917	0.473569	0.214803
2045	"2751"	"climat stable - sans pert"	27.318	11.971	4.23	9.352	1.796	5.548	8.681	7.592	10.492	25.912	0	2.618878	0	80.855	3.222769	0.603891	0.603891
2050	"2751"	"SSP2-4.5 - reboisement"	20.891	10.355	3.399	7.625	1.601	4.826	7.021	8.212	10.981	25.96	0.248601	2.659862	0.058382	80.85	3.076341	0.416478	0.109495
2050	"2751"	"SSP2-4.5 - recup70%"	20.906	10.323	3.396	7.619	1.598	4.931	7.004	8.265	10.971	26.02	0.243438	2.664082	0.097322	80.875	3.080443	0.416361	0.075601
2050	"2751"	"SSP2-4.5 - reference"	20.115	10.172	3.302	7.415	1.585	5.362	6.916	8.205	11.332	25.83	0.222802	2.647701	0.093212	80.843	3.069723	0.422021	0.106007
2050	"2751"	"SSP2-4.5 - reserve"	21.015	10.396	3.41	7.674	1.608	5.212	7.021	8.078	11.209	25.812	0.211989	2.649074	0.043266	80.835	3.072284	0.42321	0.167954
2050	"2751"	"SSP2-4.5 - sans coupe"	26.762	11.72	4.091	9.232	1.758	6.28	7.62	7.431	10.623	25.812	0	2.679941	0.052371	80.883	3.188487	0.508546	0.456175
2050	"2751"	"SSP2-4.5 - sans feu"	22.601	10.789	3.628	8.067	1.651	4.065	7.316	8.194	10.43	26.258	0.263241	2.691626	0	80.889	3.146635	0.455009	0.191768
2050	"2751"	"SSP2-4.5 - sans pert"	28.878	12.262	4.374	9.782	1.818	5.367	7.956	7.301	9.928	26.103	0	2.70411	0	80.916	3.258099	0.553989	0.553989
2050	"2751"	"SSP3-7.0 - reboisement"	20.941	10.327	3.391	7.629	1.596	4.952	6.763	8.12	10.935	25.951	0.241852	2.744623	0.118156	80.869	3.087193	0.342571	-0.017437
2050	"2751"	"SSP3-7.0 - recup70%"	20.43	10.229	3.332	7.501	1.587	5.023	6.692	8.093	11.108	25.924	0.236966	2.727687	0.055692	80.872	3.066883	0.339196	0.046537
2050	"2751"	"SSP3-7.0 - reference"	20.591	10.249	3.345	7.544	1.59	5.102	6.716	8.148	11.017	25.9	0.242648	2.738563	0.094733	80.866	3.083362	0.344799	0.007417
2050	"2751"	"SSP3-7.0 - reserve"	21.858	10.625	3.515	7.901	1.633	4.933	6.916	7.949	10.884	25.935	0.213238	2.74824	0.046708	80.865	3.116658	0.368418	0.108471
2050	"2751"	"SSP3-7.0 - sans coupe"	24.901	11.29	3.859	8.738	1.711	7.067	7.133	7.419	11.196	25.565	0	2.747378	0.119153	80.87	3.138681	0.391303	0.27215
2050	"2751"	"SSP3-7.0 - sans feu"	22.674	10.814	3.63	8.091	1.652	4.062	7.08	8.076	10.359	26.256	0.262917	2.776088	0	80.901	3.157431	0.381342	0.118426
